Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,36,67819,6036263,San Bernardino,Ontario-Montclair,Hawthorne Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,762,525,68.9%,612,80.3%,747,519,69.5%,606,81.1%,Y
2016-2017,36,67819,6036271,San Bernardino,Ontario-Montclair,Howard Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,599,425,71.0%,511,85.3%,586,414,70.6%,500,85.3%,Y
2016-2017,36,67819,6036289,San Bernardino,Ontario-Montclair,Ray Wiltsey Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,1096,891,81.3%,992,90.5%,1096,891,81.3%,992,90.5%,Y
2016-2017,36,67819,6036297,San Bernardino,Ontario-Montclair,Kingsley Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,P,6,652,541,83.0%,590,90.5%,644,535,83.1%,583,90.5%,Y
2016-2017,36,67819,6036305,San Bernardino,Ontario-Montclair,Lehigh Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,726,609,83.9%,651,89.7%,706,593,84.0%,633,89.7%,Y
2016-2017,36,67819,6036347,San Bernardino,Ontario-Montclair,Mariposa Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,5,679,540,79.5%,575,84.7%,662,525,79.3%,560,84.6%,Y
2016-2017,36,67819,6036354,San Bernardino,Ontario-Montclair,Mission Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,711,560,78.8%,628,88.3%,695,552,79.4%,618,88.9%,Y
2016-2017,36,67819,6036362,San Bernardino,Ontario-Montclair,Monte Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,P,6,635,443,69.8%,516,81.3%,620,433,69.8%,505,81.5%,Y
2016-2017,36,67819,6036370,San Bernardino,Ontario-Montclair,Moreno Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,555,387,69.7%,448,80.7%,537,381,70.9%,439,81.8%,Y
2016-2017,36,67819,6036388,San Bernardino,Ontario-Montclair,Ramona Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,P,6,774,588,76.0%,658,85.0%,763,581,76.1%,651,85.3%,Y
2016-2017,36,67819,6036404,San Bernardino,Ontario-Montclair,Serrano Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,722,516,71.5%,587,81.3%,722,516,71.5%,587,81.3%,Y
2016-2017,36,67819,6036412,San Bernardino,Ontario-Montclair,Sultana Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,769,610,79.3%,666,86.6%,744,591,79.4%,647,87.0%,Y
2016-2017,36,67819,6036420,San Bernardino,Ontario-Montclair,Vernon Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,698,494,70.8%,577,82.7%,698,494,70.8%,577,82.7%,Y
2016-2017,36,67819,6036438,San Bernardino,Ontario-Montclair,Vina Danks Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,750,483,64.4%,566,75.5%,750,483,64.4%,566,75.5%,Y
2016-2017,36,67819,6036446,San Bernardino,Ontario-Montclair,Vineyard Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,8,786,617,78.5%,693,88.2%,769,605,78.7%,679,88.3%,Y
2016-2017,36,67819,6096283,San Bernardino,Ontario-Montclair,Lincoln Elementary,Elementary School District,Special Education Schools (Public),Special Education School,CEP,No ,N/A,N/A,N,P,6,563,459,81.5%,502,89.2%,549,447,81.4%,489,89.1%,Y
2016-2017,36,67819,6113476,San Bernardino,Ontario-Montclair,Oaks Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,876,586,66.9%,722,82.4%,876,586,66.9%,722,82.4%,Y
2016-2017,36,67827,0111807,San Bernardino,Oro Grande Elementary,Mojave River Academy,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,0762,Directly funded,N,K,12,1392,833,59.8%,975,70.0%,1194,704,59.0%,835,69.9%,Y
2016-2017,36,67827,0113928,San Bernardino,Oro Grande Elementary,Riverside Preparatory,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,0855,Locally funded,N,K,12,2325,1602,68.9%,1821,78.3%,2302,1587,68.9%,1801,78.2%,Y
2016-2017,36,67827,6036453,San Bernardino,Oro Grande Elementary,Oro Grande Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,105,89,84.8%,94,89.5%,102,87,85.3%,92,90.2%,Y
2016-2017,36,67843,0000000,San Bernardino,Redlands Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,200,89,44.5%,93,46.5%,174,82,47.1%,86,49.4%,Y
2016-2017,36,67843,0000001,San Bernardino,Redlands Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,4,28.6%,4,28.6%,13,4,30.8%,4,30.8%,Y
2016-2017,36,67843,0102558,San Bernardino,Redlands Unified,Beattie Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1120,536,47.9%,629,56.2%,1120,536,47.9%,629,56.2%,Y
2016-2017,36,67843,0107888,San Bernardino,Redlands Unified,Highland Grove Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,509,242,47.5%,293,57.6%,499,235,47.1%,286,57.3%,Y
2016-2017,36,67843,0110569,San Bernardino,Redlands Unified,Judson & Brown Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,548,215,39.2%,251,45.8%,542,215,39.7%,251,46.3%,Y
2016-2017,36,67843,0118802,San Bernardino,Redlands Unified,Citrus Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2152,881,40.9%,1097,51.0%,2079,842,40.5%,1052,50.6%,Y
2016-2017,36,67843,0123851,San Bernardino,Redlands Unified,Mission Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,551,339,61.5%,389,70.6%,542,334,61.6%,384,70.8%,Y
2016-2017,36,67843,0127837,San Bernardino,Redlands Unified,Redlands eAcademy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,12,91,27,29.7%,31,34.1%,91,27,29.7%,31,34.1%,Y
2016-2017,36,67843,3630779,San Bernardino,Redlands Unified,Redlands East Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2198,950,43.2%,1143,52.0%,2141,927,43.3%,1118,52.2%,Y
2016-2017,36,67843,3630928,San Bernardino,Redlands Unified,Grove,Unified School District,High Schools (Public),Traditional,N/A,Yes,0180,Directly funded,N,7,12,216,25,11.6%,33,15.3%,210,24,11.4%,32,15.2%,Y
2016-2017,36,67843,3634995,San Bernardino,Redlands Unified,Orangewood High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,233,174,74.7%,189,81.1%,176,131,74.4%,144,81.8%,Y
2016-2017,36,67843,3635042,San Bernardino,Redlands Unified,Redlands Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2279,932,40.9%,1154,50.6%,2200,895,40.7%,1111,50.5%,Y
2016-2017,36,67843,6036479,San Bernardino,Redlands Unified,Crafton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,675,303,44.9%,366,54.2%,666,297,44.6%,359,53.9%,Y
2016-2017,36,67843,6036487,San Bernardino,Redlands Unified,Cram Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,602,218,36.2%,245,40.7%,596,216,36.2%,243,40.8%,Y
2016-2017,36,67843,6036503,San Bernardino,Redlands Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,705,518,73.5%,591,83.8%,694,511,73.6%,582,83.9%,Y
2016-2017,36,67843,6036511,San Bernardino,Redlands Unified,Kimberly Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,616,180,29.2%,198,32.1%,604,175,29.0%,192,31.8%,Y
2016-2017,36,67843,6036537,San Bernardino,Redlands Unified,Lugonia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,684,559,81.7%,614,89.8%,669,548,81.9%,602,90.0%,Y
2016-2017,36,67843,6036545,San Bernardino,Redlands Unified,Mariposa Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,582,128,22.0%,152,26.1%,569,123,21.6%,147,25.8%,Y
2016-2017,36,67843,6036552,San Bernardino,Redlands Unified,McKinley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,416,228,54.8%,268,64.4%,409,225,55.0%,264,64.5%,Y
2016-2017,36,67843,6036560,San Bernardino,Redlands Unified,Mentone Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,510,355,69.6%,408,80.0%,504,352,69.8%,404,80.2%,Y
2016-2017,36,67843,6036586,San Bernardino,Redlands Unified,Smiley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,637,238,37.4%,284,44.6%,629,237,37.7%,283,45.0%,Y
2016-2017,36,67843,6036594,San Bernardino,Redlands Unified,Victoria Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,535,428,80.0%,482,90.1%,523,419,80.1%,470,89.9%,Y
2016-2017,36,67843,6059414,San Bernardino,Redlands Unified,Clement Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1101,676,61.4%,788,71.6%,1101,676,61.4%,788,71.6%,Y
2016-2017,36,67843,6059422,San Bernardino,Redlands Unified,Cope Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1353,630,46.6%,743,54.9%,1353,630,46.6%,743,54.9%,Y
2016-2017,36,67843,6061881,San Bernardino,Redlands Unified,Moore Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1062,536,50.5%,614,57.8%,1062,536,50.5%,614,57.8%,Y
2016-2017,36,67843,6067060,San Bernardino,Redlands Unified,Kingsbury Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,467,261,55.9%,312,66.8%,458,258,56.3%,307,67.0%,Y
2016-2017,36,67843,6108179,San Bernardino,Redlands Unified,Arroyo Verde Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,648,261,40.3%,300,46.3%,631,251,39.8%,288,45.6%,Y
2016-2017,36,67843,6111132,San Bernardino,Redlands Unified,Bryn Mawr Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,691,344,49.8%,411,59.5%,680,341,50.1%,407,59.9%,Y
2016-2017,36,67850,0000001,San Bernardino,Rialto Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,7,31.8%,7,31.8%,21,7,33.3%,7,33.3%,Y
2016-2017,36,67850,0102830,San Bernardino,Rialto Unified,Wilmer Amina Carter High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2434,1411,58.0%,1709,70.2%,2371,1375,58.0%,1666,70.3%,Y
2016-2017,36,67850,0116483,San Bernardino,Rialto Unified,Charlotte N. Werner Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,884,738,83.5%,809,91.5%,884,738,83.5%,809,91.5%,Y
2016-2017,36,67850,0121160,San Bernardino,Rialto Unified,Nancy R. Kordyak Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,525,293,55.8%,347,66.1%,525,293,55.8%,347,66.1%,Y
2016-2017,36,67850,3630159,San Bernardino,Rialto Unified,Milor Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,211,135,64.0%,150,71.1%,110,80,72.7%,86,78.2%,Y
2016-2017,36,67850,3630530,San Bernardino,Rialto Unified,Zupanic High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,112,66,58.9%,69,61.6%,72,40,55.6%,43,59.7%,Y
2016-2017,36,67850,3630597,San Bernardino,Rialto Unified,Rialto High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2739,1846,67.4%,2206,80.5%,2666,1799,67.5%,2151,80.7%,Y
2016-2017,36,67850,3633005,San Bernardino,Rialto Unified,Eisenhower Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2443,1772,72.5%,2014,82.4%,2365,1721,72.8%,1960,82.9%,Y
2016-2017,36,67850,6036602,San Bernardino,Rialto Unified,Bemis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,675,530,78.5%,600,88.9%,661,520,78.7%,589,89.1%,Y
2016-2017,36,67850,6036610,San Bernardino,Rialto Unified,Boyd Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,570,444,77.9%,517,90.7%,570,444,77.9%,517,90.7%,Y
2016-2017,36,67850,6036628,San Bernardino,Rialto Unified,Casey Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,763,649,85.1%,714,93.6%,763,649,85.1%,714,93.6%,Y
2016-2017,36,67850,6036636,San Bernardino,Rialto Unified,Dunn Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,606,499,82.3%,549,90.6%,606,499,82.3%,549,90.6%,Y
2016-2017,36,67850,6036644,San Bernardino,Rialto Unified,Henry Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,433,353,81.5%,388,89.6%,433,353,81.5%,388,89.6%,Y
2016-2017,36,67850,6036651,San Bernardino,Rialto Unified,Kelley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,699,599,85.7%,648,92.7%,699,599,85.7%,648,92.7%,Y
2016-2017,36,67850,6036669,San Bernardino,Rialto Unified,Morgan Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,525,388,73.9%,450,85.7%,509,380,74.7%,439,86.2%,Y
2016-2017,36,67850,6036677,San Bernardino,Rialto Unified,Myers Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,554,433,78.2%,470,84.8%,538,423,78.6%,458,85.1%,Y
2016-2017,36,67850,6036685,San Bernardino,Rialto Unified,Preston Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,635,504,79.4%,560,88.2%,618,492,79.6%,547,88.5%,Y
2016-2017,36,67850,6036693,San Bernardino,Rialto Unified,Trapp Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,438,279,63.7%,344,78.5%,437,279,63.8%,344,78.7%,Y
2016-2017,36,67850,6059448,San Bernardino,Rialto Unified,Frisbie Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1223,961,78.6%,1083,88.6%,1223,961,78.6%,1083,88.6%,Y
2016-2017,36,67850,6059455,San Bernardino,Rialto Unified,Rialto Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1205,924,76.7%,1055,87.6%,1205,924,76.7%,1055,87.6%,Y
2016-2017,36,67850,6061899,San Bernardino,Rialto Unified,Kolb Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,982,693,70.6%,803,81.8%,982,693,70.6%,803,81.8%,Y
2016-2017,36,67850,6105704,San Bernardino,Rialto Unified,Helen L. Dollahan Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,697,499,71.6%,573,82.2%,682,487,71.4%,560,82.1%,Y
2016-2017,36,67850,6106538,San Bernardino,Rialto Unified,Samuel W. Simpson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,721,509,70.6%,589,81.7%,710,499,70.3%,579,81.5%,Y
2016-2017,36,67850,6107155,San Bernardino,Rialto Unified,Elizabeth T. Hughbanks Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,585,377,64.4%,449,76.8%,572,371,64.9%,443,77.4%,Y
2016-2017,36,67850,6108864,San Bernardino,Rialto Unified,Georgia Morris Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,631,472,74.8%,541,85.7%,631,472,74.8%,541,85.7%,Y
2016-2017,36,67850,6111728,San Bernardino,Rialto Unified,Edward Fitzgerald Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,454,256,56.4%,323,71.1%,437,251,57.4%,317,72.5%,Y
2016-2017,36,67850,6111736,San Bernardino,Rialto Unified,Ernest Garcia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,667,440,66.0%,529,79.3%,666,440,66.1%,529,79.4%,Y
2016-2017,36,67850,6111744,San Bernardino,Rialto Unified,Ethel Kucera Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1147,721,62.9%,870,75.9%,1147,721,62.9%,870,75.9%,Y
2016-2017,36,67850,6114920,San Bernardino,Rialto Unified,William G. Jehue Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1459,1053,72.2%,1247,85.5%,1459,1053,72.2%,1247,85.5%,Y
2016-2017,36,67850,6114938,San Bernardino,Rialto Unified,Sam V. Curtis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,645,511,79.2%,582,90.2%,645,511,79.2%,582,90.2%,Y
2016-2017,36,67868,0000001,San Bernardino,Rim of the World Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,0.0%,0,0.0%,2,0,0.0%,0,0.0%,Y
2016-2017,36,67868,3630241,San Bernardino,Rim of the World Unified,Mountain High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,46,26,56.5%,26,56.5%,39,20,51.3%,20,51.3%,Y
2016-2017,36,67868,3635265,San Bernardino,Rim of the World Unified,Rim of the World Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1125,398,35.4%,441,39.2%,1083,387,35.7%,424,39.2%,Y
2016-2017,36,67868,6036727,San Bernardino,Rim of the World Unified,Lake Arrowhead Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,5,637,300,47.1%,342,53.7%,624,297,47.6%,338,54.2%,Y
2016-2017,36,67868,6036735,San Bernardino,Rim of the World Unified,Charles Hoffman Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,336,149,44.3%,181,53.9%,329,148,45.0%,179,54.4%,Y
2016-2017,36,67868,6036743,San Bernardino,Rim of the World Unified,Valley of Enchantment Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,586,361,61.6%,398,67.9%,580,359,61.9%,395,68.1%,Y
2016-2017,36,67868,6068779,San Bernardino,Rim of the World Unified,Mary P. Henck Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,788,342,43.4%,394,50.0%,788,342,43.4%,394,50.0%,Y
2016-2017,36,67876,0000000,San Bernardino,San Bernardino City Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,69,28,40.6%,30,43.5%,57,26,45.6%,28,49.1%,Y
2016-2017,36,67876,0000001,San Bernardino,San Bernardino City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,112,61,54.5%,65,58.0%,94,55,58.5%,59,62.8%,Y
2016-2017,36,67876,0107730,San Bernardino,San Bernardino City Unified,ASA Charter,Unified School District,K-12 Schools (Public),Traditional,CEP,Yes,0677,Directly funded,Y,K,12,228,203,89.0%,221,96.9%,217,194,89.4%,212,97.7%,Y
2016-2017,36,67876,0109488,San Bernardino,San Bernardino City Unified,Cesar E. Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,861,541,62.8%,690,80.1%,861,541,62.8%,690,80.1%,Y
2016-2017,36,67876,0109496,San Bernardino,San Bernardino City Unified,Roger Anton Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,730,614,84.1%,674,92.3%,710,599,84.4%,657,92.5%,Y
2016-2017,36,67876,0109850,San Bernardino,San Bernardino City Unified,Public Safety Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0731,Directly funded,Y,6,12,425,268,63.1%,307,72.2%,419,264,63.0%,301,71.8%,Y
2016-2017,36,67876,0110783,San Bernardino,San Bernardino City Unified,Juanita Blakely Jones Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,416,385,92.5%,401,96.4%,406,376,92.6%,392,96.6%,Y
2016-2017,36,67876,0114405,San Bernardino,San Bernardino City Unified,"Casa Ramona Academy for Technology, Community, and Education",Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0897,Directly funded,Y,K,12,185,151,81.6%,160,86.5%,185,151,81.6%,160,86.5%,Y
2016-2017,36,67876,0116160,San Bernardino,San Bernardino City Unified,Bing Wong Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,752,662,88.0%,702,93.4%,752,662,88.0%,702,93.4%,Y
2016-2017,36,67876,0116178,San Bernardino,San Bernardino City Unified,Colonel Joseph C. Rodriguez PREP Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,8,765,599,78.3%,696,91.0%,765,599,78.3%,696,91.0%,Y
2016-2017,36,67876,0117192,San Bernardino,San Bernardino City Unified,SOAR Charter Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,0982,Directly funded,Y,K,8,459,282,61.4%,346,75.4%,452,279,61.7%,342,75.7%,Y
2016-2017,36,67876,0120006,San Bernardino,San Bernardino City Unified,New Vision Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,Yes,1089,Directly funded,Y,6,8,315,178,56.5%,182,57.8%,315,178,56.5%,182,57.8%,Y
2016-2017,36,67876,0120568,San Bernardino,San Bernardino City Unified,Options for Youth-San Bernardino,Unified School District,High Schools (Public),Traditional,N/A,Yes,1132,Directly funded,Y,7,12,620,428,69.0%,512,82.6%,493,333,67.5%,403,81.7%,Y
2016-2017,36,67876,0121343,San Bernardino,San Bernardino City Unified,Excel Prep Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1153,Directly funded,Y,K,5,182,127,69.8%,128,70.3%,182,127,69.8%,128,70.3%,Y
2016-2017,36,67876,0122317,San Bernardino,San Bernardino City Unified,Hardy Brown College Prep,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1155,Directly funded,Y,K,8,374,311,83.2%,337,90.1%,374,311,83.2%,337,90.1%,Y
2016-2017,36,67876,0125450,San Bernardino,San Bernardino City Unified,Indian Springs High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,1760,1407,79.9%,1534,87.2%,1691,1354,80.1%,1475,87.2%,Y
2016-2017,36,67876,0126706,San Bernardino,San Bernardino City Unified,Taft T. Newman Leadership Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1437,Directly funded,Y,K,6,112,88,78.6%,88,78.6%,111,88,79.3%,88,79.3%,Y
2016-2017,36,67876,0126714,San Bernardino,San Bernardino City Unified,Woodward Leadership Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1438,Directly funded,Y,K,6,84,77,91.7%,79,94.0%,75,69,92.0%,71,94.7%,Y
2016-2017,36,67876,0127324,San Bernardino,San Bernardino City Unified,Dr. Mildred Dalton Henry Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,4,6,395,347,87.8%,376,95.2%,395,347,87.8%,376,95.2%,Y
2016-2017,36,67876,0127332,San Bernardino,San Bernardino City Unified,Graciano Gomez Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,634,581,91.6%,609,96.1%,634,581,91.6%,609,96.1%,Y
2016-2017,36,67876,0127340,San Bernardino,San Bernardino City Unified,George Brown Jr. Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,808,678,83.9%,718,88.9%,808,678,83.9%,718,88.9%,Y
2016-2017,36,67876,0127357,San Bernardino,San Bernardino City Unified,Bob Holcomb Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,590,459,77.8%,514,87.1%,575,448,77.9%,501,87.1%,Y
2016-2017,36,67876,0128405,San Bernardino,San Bernardino City Unified,Center For Learning and Educational Success,Unified School District,High Schools (Public),Traditional,N/A,Yes,1574,Directly funded,Y,7,12,90,53,58.9%,53,58.9%,78,52,66.7%,52,66.7%,Y
2016-2017,36,67876,0128918,San Bernardino,San Bernardino City Unified,Paakuma K-8,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,788,355,45.1%,446,56.6%,788,355,45.1%,446,56.6%,Y
2016-2017,36,67876,0128926,San Bernardino,San Bernardino City Unified,H. Frank Dominguez Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,461,411,89.2%,430,93.3%,461,411,89.2%,430,93.3%,Y
2016-2017,36,67876,0128934,San Bernardino,San Bernardino City Unified,San Bernardino City Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,12,10,10,100.0%,10,100.0%,10,10,100.0%,10,100.0%,Y
